Year,Country,Code,ContinentCode,GDP per capita constant dollars,Capital investment billion USD,Labor force million people,education,GDP billion USD,Capital stock billion USD,Capital stock per capita,ln_gdp_per_capita,ln_capital_per_capita,ln_education,predicted,residuals,predicted_gdp_per_capita,gdp_growth_rate,predicted_growth_rate,capital_contribution,human_capital_contribution,ptf_contribution
1999,Belgium,BEL,EU,34479.91,58.59,4.37,17.60336,150677.2067,598.4490950945145,136944.87301933972,10.448132114565404,11.827333737110854,2.8680897929141937,10.458488383092208,-0.010356268526804158,34838.84863108703,3.305732134847905,0.2756144604821209,0.3440395013486659,-0.0688041610735803,2.9770325368002686
2000,Belgium,BEL,EU,35674.79,56.32,4.42,17.77131,157682.5718,618.8621493888437,140014.0609477022,10.482199555852588,11.84949813188888,2.877585359201784,10.467217603009292,0.014981952843296398,35144.29582072262,3.465438279856281,0.8767430659664122,0.42342993135766327,0.4494920603506542,2.533822137010169
2001,Belgium,BEL,EU,35943.24,53.58,4.32,18.30985,155274.7968,635.3104204255131,147062.59732072064,10.489696306524678,11.898613607233855,2.907439166408188,10.490732563488645,-0.0010362569639674746,35980.505737863,0.7524921660365669,2.3793617075329676,0.9383049960172484,1.413191051918062,-1.6018209807263557
2002,Belgium,BEL,EU,36393.24,53.61,4.37,18.48285,159038.4588,650.8017951999823,148924.89592676942,10.502138322092083,11.911197403666826,2.916843275101957,10.497588206810264,0.0045501152818197,36228.02272639032,1.2519739455875367,0.6879197038824669,0.2404016041581151,0.4451627280037046,0.558637224578701
2003,Belgium,BEL,EU,36617.38,66.69,4.4,18.70292,161116.472,678.4436874879832,154191.7471563598,10.508278270065498,11.945952218292328,2.928679661403061,10.509830783162014,-0.0015525130965166056,36674.27311423517,0.6158836091537889,1.231782344885679,0.663958069624976,0.5602995655501519,-0.610262837833673
2004,Belgium,BEL,EU,37761.28,83.69,4.49,18.48071,169548.1472,721.4270662387041,160674.17956318578,10.539039517989988,11.987133864038094,2.916727485388932,10.512040342456686,0.026999175533301667,36755.39668593618,3.1239263977925313,0.22120021697042969,0.7867366380160369,-0.5657807085487495,2.855168862981699
2005,Belgium,BEL,EU,38426.05,91.34,4.63,18.83531,177912.6115,769.4814422643818,166194.6959534302,10.55649089399311,12.02091524725663,2.935733299729028,10.527490749352145,0.029000144640965786,37327.692235303126,1.7604540947764535,1.5570381521305299,0.6453615774598884,0.8996791120858683,0.20009691076656194
2006,Belgium,BEL,EU,39147.76,97.86,4.65,19.05408,182037.08400000003,821.1725557285189,176596.24854376752,10.575098483945537,12.081621324252344,2.947281251869245,10.54455453426856,0.030543949676976823,37970.10939334935,1.8781789957593942,1.721020292378661,1.1597325473001818,0.5466459443414532,0.15438050360094893
2007,Belgium,BEL,EU,40290.23,115.86,4.73,19.09912,190572.7879,887.7622023848078,187687.56921454708,10.603864286781658,12.142533993501091,2.949642260692748,10.557308959088191,0.04655532769346671,38457.49787169605,2.918353438357646,1.2836109406418217,1.1636792981317188,0.11176318383133363,1.6011378016490545
2008,Belgium,BEL,EU,40151.85,134.18,4.78,19.13726,191925.843,968.6764702417192,202651.981222117,10.600423795523849,12.219245408579685,2.951637220082174,10.572908308826614,0.027515486697234692,39062.1133748765,-0.3434579549434269,1.5721654726410073,1.4654994889948016,0.09443548484737146,-1.903984099623072
